feature,feature_clean,signed_Success_Placement,abs_Success_Placement,signed_Judge_Appeal_Avg_Score,abs_Judge_Appeal_Avg_Score,signed_Fan_Appeal_Avg_Share,abs_Fan_Appeal_Avg_Share
Early Performance (W1-2),Early Performance (W1-2),0.003201177841155356,0.15824661353645308,0.012580874248676235,0.9179748322167797,0.0011221542143104906,0.03648909460340209
age,age,-0.001542088965587671,0.05331706334570264,0.0011773625642328288,0.16513854492863006,0.00021797748242003372,0.006355934703021995
homecountry_clean_Argentina,Country: Argentina,0.0,0.0,0.0,0.0,0.0,0.0
homecountry_clean_Australia,Country: Australia,-7.782553544385643e-06,1.0765920527600019e-05,0.0,0.0,-9.663704452936168e-07,2.0714605227509105e-06
homecountry_clean_Brazil,Country: Brazil,1.4297003322013333e-05,3.066694328255804e-05,0.0,0.0,0.0,0.0
homecountry_clean_Canada,Country: Canada,-5.241248853846331e-05,0.00016918045094979587,-2.6445295386231725e-05,5.509160649871901e-05,-1.962569405733722e-05,0.00013385097237250603
homecountry_clean_Chile,Country: Chile,0.0,0.0,0.0,0.0,1.6954841162166042e-06,2.1402802619734335e-06
homecountry_clean_Croatia,Country: Croatia,0.0,0.0,0.0,0.0,0.0,0.0
homecountry_clean_Czechoslovakia,Country: Czechoslovakia,4.803004193800972e-05,9.215301628800985e-05,0.0,0.0,-8.608898995093792e-07,1.0754074970458326e-06
homecountry_clean_England,Country: England,-4.193056143539918e-05,0.00012206350463927567,9.159781271497313e-05,0.0002655679367789601,-1.3459262425180705e-05,5.59399430439305e-05
homecountry_clean_France,Country: France,1.9501075902804365e-06,4.455292630046798e-06,-3.331170475730595e-05,4.736433396569236e-05,0.0,0.0
homecountry_clean_Ireland,Country: Ireland,0.0,0.0,0.0,0.0,0.0,0.0
homecountry_clean_Italy,Country: Italy,0.0,0.0,5.6660515445311904e-05,0.00012525002583558837,-5.014334050148242e-07,6.179563326792164e-07
homecountry_clean_Mexico,Country: Mexico,0.0,0.0,-0.00010862787194056912,0.00016855721229261467,0.0,0.0
homecountry_clean_Other_Country,Country: Other_Country,6.162065801441505e-05,0.00015785137155718964,-2.6190702777624284e-05,0.00013666920920809384,-1.0110626404436095e-06,6.84822092812395e-05
homecountry_clean_Russia,Country: Russia,0.0,0.0,0.0,0.0,0.0,0.0
homecountry_clean_Taiwan China,Country: Taiwan China,0.0,0.0,0.0,0.0,0.0,0.0
homecountry_clean_United States,Country: United States,-3.7435718120546165e-05,0.0017625171683275027,-3.6161409060694336e-05,0.002184171925582471,4.676903763547314e-05,0.00013794827981296952
homestate_clean_Alabama,State: Alabama,-9.679629315550427e-05,0.00022502686161912424,-0.0005435481628302421,0.0016086966452407824,-0.00027675762623566443,0.0015569859604696392
homestate_clean_California,State: California,9.442924433780138e-05,0.0063192372726851125,-7.808742203019203e-05,0.0033232546601449945,1.5074268914402295e-05,0.0005167918120644511
homestate_clean_Florida,State: Florida,6.463115041273705e-05,0.000473996484104883,0.00029916156679935614,0.001757464654122628,-8.118882921152647e-07,0.00018680888278832996
homestate_clean_Georgia,State: Georgia,-0.0002381216381997994,0.0010288804137361543,-0.0006460190469666278,0.001981917932155263,-6.945016657346767e-05,0.0007893823419655526
homestate_clean_Illinois,State: Illinois,-0.00017259194827372258,0.002894721775810054,-0.0004671175536862828,0.0025824347841440273,-5.678729917956969e-05,0.0006869832664782754
homestate_clean_Iowa,State: Iowa,-2.6990401576077974e-05,6.45145650903439e-05,-1.8943436983923037e-05,3.646949318281143e-05,-1.370048544961735e-06,1.5897781926105088e-06
homestate_clean_Kentucky,State: Kentucky,3.671893797968562e-05,0.0003146774942042657,-4.327663885689296e-05,0.00019068137452662727,-8.873813821742673e-06,2.2792201805490455e-05
homestate_clean_Louisiana,State: Louisiana,-0.00015678626756825625,0.0004971009098071629,-3.1465183147495905e-05,9.703984556727041e-05,-0.00015035578512116453,0.0008372385352109706
homestate_clean_Michigan,State: Michigan,1.5319332319326127e-05,6.691902642078098e-05,-0.0005612682935827004,0.0011979613338862255,1.3667364337309557e-06,5.7926816123879795e-06
homestate_clean_New Jersey,State: New Jersey,0.00018001829578774138,0.0005200659085918762,6.33007036548456e-05,0.0001946444867110015,-7.493170675057716e-06,0.00010766513075430747
homestate_clean_New York,State: New York,0.00013733858924782345,0.0013836363636283002,0.00013907168807764038,0.002282794051706273,1.5963092411686027e-05,0.0005704534508287824
homestate_clean_Ohio,State: Ohio,0.00030421912139798405,0.0017611209711817935,0.0005440361779287886,0.002856314774332094,3.399787695895453e-05,0.00013945083209064072
homestate_clean_Other_State,State: Other_State,3.167821223553786e-05,0.0011293997523093955,0.0008744827904692721,0.005333268567457342,-4.6198257873023154e-05,0.001254079738352991
homestate_clean_Pennsylvania,State: Pennsylvania,-0.0004899671650797192,0.002483720579184834,-0.0004240446190988438,0.0016587872740058693,-4.151028283051188e-05,0.0006525927878165424
homestate_clean_Texas,State: Texas,-0.00035260904263261357,0.002865899905918616,-0.0005773691776682189,0.003993781659460816,-1.3913886636829957e-05,0.00036808067646401616
homestate_clean_Unknown,State: Unknown,-2.9871533726486007e-05,0.0013649535061851389,8.1087919305579e-05,0.0017678829404603285,5.633929959315204e-05,0.00014025976462436242
industry_clean_Actor/Actress,Industry: Actor/Actress,4.8197338295109644e-05,0.0031751153104417258,-0.000307678250877003,0.020292549087014767,3.6494670353982325e-06,0.0005386653483844183
industry_clean_Athlete,Industry: Athlete,-1.5084480689984695e-05,0.0014869304140282113,0.00025276127261976146,0.007529012811443421,4.4447946750790795e-06,0.0006264847396405484
industry_clean_Comedian,Industry: Comedian,-0.00017619656556260973,0.0005591914404522512,-0.0007567130130715903,0.0025048630974882635,-8.960798509105723e-06,4.510219016080426e-05
industry_clean_Model,Industry: Model,0.0007905615562519189,0.005072448187160392,0.0009942060191691958,0.003690426556739961,5.9211175600092036e-05,0.00017417510228058788
industry_clean_Other,Industry: Other,-0.00020138197800252807,0.0012785611566361933,-0.0009079413085885521,0.006021330789862877,1.026038894392449e-05,0.0001724570529421555
industry_clean_Singer/Rapper,Industry: Singer/Rapper,0.00025542341284109596,0.006450728880499326,-0.00017698703945894496,0.008040754613182249,-4.614002844870362e-06,0.00025293321377594676
industry_clean_TV Personality,Industry: TV Personality,-0.00041204409693800827,0.0053188811125180115,-0.00032043823745868085,0.014765161206656559,9.687676653252939e-06,0.0003394493248085196
missing_fan_share,missing_fan_share,0.0,0.0,0.0,0.0,0.0,0.0
partner_clean_Artem Chigvintsev,Partner: Artem Chigvintsev,-1.911817207650303e-05,0.0001712982404116348,-0.0013076541499625663,0.004769182274460123,-3.924033203748896e-05,0.0002729639340018247
partner_clean_Cheryl Burke,Partner: Cheryl Burke,-0.00044927517848010495,0.0045690252269964,-0.0010987975455768967,0.006429800829065062,-1.0948066717600233e-05,0.00014615739309836043
partner_clean_Derek Hough,Partner: Derek Hough,-0.00033868879573884273,0.0010197235206409927,-0.0009681336997168754,0.0032123123642677246,-0.0009944061635405687,0.004531834212930615
partner_clean_Emma Slater,Partner: Emma Slater,-9.198063801119915e-05,0.0004979390420479454,-0.0003801774261592344,0.0014508684152302646,-1.094624492084155e-07,2.0656860001714967e-05
partner_clean_Gleb Savchenko,Partner: Gleb Savchenko,2.937184086160261e-05,0.00017731673838106282,-2.1135777849932743e-05,0.00017108094540606297,1.5644949581438954e-05,5.78603229796156e-05
partner_clean_Karina Smirnoff,Partner: Karina Smirnoff,0.0001590662347651072,0.0015408281744098563,0.0007521705293320414,0.002776822283403247,-2.01290652086672e-05,9.695994668650469e-05
partner_clean_Kym Johnson,Partner: Kym Johnson,-7.357888357442602e-05,0.00022316014297375761,2.0268987237469627e-05,0.00031104377880735156,-2.6872526877081558e-05,0.0001675341251808327
partner_clean_Maksim Chmerkoskiy,Partner: Maksim Chmerkoskiy,0.00016172788169740155,0.0013023815744708474,0.0005280454317548404,0.002130301992407518,-2.3529634505848603e-05,0.00018020669189943697
partner_clean_Mark Ballas,Partner: Mark Ballas,0.00016227851496099322,0.0011406847744458502,3.125106969412563e-05,0.0008195915755829937,1.2606506567894105e-05,5.583574582980729e-05
partner_clean_Other_Partner,Partner: Other_Partner,-5.428468147028345e-06,0.00692451681525566,-0.0024927166117069224,0.046091465258124256,7.851794771219357e-06,0.0005900301355396699
partner_clean_Peta Murgatroyd,Partner: Peta Murgatroyd,2.846673596311011e-05,0.00017078097047839005,0.0002325900046910282,0.0005250873616124877,-1.9216215149964695e-05,0.00011193565105707971
partner_clean_Sasha Farber,Partner: Sasha Farber,-4.572230625319254e-05,0.00032609378823675414,-0.0012182421805375576,0.003797335474130087,8.540071940489883e-08,1.119917364835898e-05
partner_clean_Sharna Burgess,Partner: Sharna Burgess,-0.00015533469477067724,0.0006860057610945248,2.2085735886068244e-05,0.00014781406764641486,-9.184472215577836e-05,0.0005985201799559859
partner_clean_Tony Dovolani,Partner: Tony Dovolani,0.00010471625479508017,0.0003513204818365419,0.00014644566979227108,0.000617986263202886,1.3111826147220777e-05,5.6646677307932585e-05
partner_clean_Valentin Chmerkovskiy,Partner: Valentin Chmerkovskiy,-2.5081530019919112e-06,0.0003925322179993617,-0.0007012112952313318,0.0033317119112850377,2.1831703204682694e-05,0.00028582765938987034
partner_clean_Witney Carson,Partner: Witney Carson,-0.00013290592463261096,0.0008112481343800615,-0.0005241141752817009,0.0017560363015135137,1.2064956869948231e-05,6.247675291658867e-05
