feature,importance
early_score,0.15710211690369805
age,0.05686362939385248
partner_Other_Partner,0.007576547505463819
industry_Singer/Rapper,0.0069489420128225855
industry_Model,0.0068043688838677376
industry_TV Personality,0.006102762279721925
partner_Cheryl Burke,0.004779457614222042
industry_Actor/Actress,0.0038378795010715274
partner_Karina Smirnoff,0.0020346447844485395
partner_Witney Carson,0.0020327459376995685
partner_Sasha Farber,0.0019126822481575854
partner_Mark Ballas,0.0018698966083208186
partner_Gleb Savchenko,0.001828097186874152
partner_Maksim Chmerkoskiy,0.001739928273750701
industry_Other,0.00165190196240152
industry_Athlete,0.0015215849668783292
partner_Derek Hough,0.0013682783592143556
partner_Emma Slater,0.0008118572052166899
partner_Valentin Chmerkovskiy,0.0007820745956517087
industry_Comedian,0.0007077488660779011
partner_Peta Murgatroyd,0.0006899980326854932
partner_Sharna Burgess,0.0006723180301864136
partner_Kym Johnson,0.0005777530160236094
partner_Tony Dovolani,0.0004689475881838577
partner_Artem Chigvintsev,0.0003369886972932051
