feature,shap_success,shap_judge,shap_fan,judge_minus_fan
Ballroom Partner: Artem Chigvintsev,9.091559e-05,0.090627104,0.0002618697,0.09036523
Ballroom Partner: Cheryl Burke,0.003916308,0.03424153,0.0003855878,0.033855945
Ballroom Partner: Derek Hough,0.0051146885,0.18152523,0.004850775,0.17667446
Ballroom Partner: Emma Slater,1.8863242e-05,0.027164597,0.001067274,0.026097324
Ballroom Partner: Gleb Savchenko,0.0,0.023498049,0.0011091569,0.022388892
Ballroom Partner: Karina Smirnoff,0.0002192765,0.07966634,0.0006392261,0.07902712
Ballroom Partner: Kym Johnson,0.0,0.024928007,0.0005791856,0.024348821
Ballroom Partner: Maksim Chmerkoskiy,2.2951377e-05,0.03537521,0.0011981918,0.03417702
Ballroom Partner: Mark Ballas,0.0004610999,0.0074432837,0.0012440843,0.0061991992
Ballroom Partner: Other Partner,0.0048574563,0.8523516,0.0013307871,0.8510208
Ballroom Partner: Peta Murgatroyd,0.0,0.09618646,0.0007466391,0.09543982
Ballroom Partner: Sasha Farber,0.0,0.06941985,0.00017738201,0.06924247
Ballroom Partner: Sharna Burgess,0.00018079455,0.08765098,0.00046225777,0.08718872
Ballroom Partner: Tony Dovolani,5.3282125e-05,0.048348736,0.0004063448,0.047942393
Ballroom Partner: Valentin Chmerkovskiy,0.0,0.13668336,0.0016070991,0.13507625
Ballroom Partner: Witney Carson,0.0,0.10407777,0.00034274833,0.10373502
Celebrity Age During Season,0.050371636,1.5183336,0.013992623,1.5043409
Celebrity Home Country/Region: Australia,0.0,0.021752778,0.0002106419,0.021542136
Celebrity Home Country/Region: Canada,0.0,0.0074578794,0.0008327962,0.0066250833
Celebrity Home Country/Region: England,0.0,0.022695616,0.0002567078,0.022438908
Celebrity Home Country/Region: Italy,2.2192033e-05,0.014654245,7.1784816e-05,0.014582461
Celebrity Home Country/Region: Other,0.00077131425,0.028032575,0.0004241288,0.027608447
Celebrity Home Country/Region: United States,0.0,0.0,0.0,0.0
Celebrity Homestate: California,0.00027198702,0.13661376,0.0024964022,0.13411735
Celebrity Homestate: Florida,0.0,0.089364685,0.0003807947,0.08898389
Celebrity Homestate: Georgia,8.045866e-05,0.15506828,0.0014007663,0.15366751
Celebrity Homestate: Illinois,0.0001913918,0.03633037,0.00048191196,0.035848457
Celebrity Homestate: Michigan,0.0,0.10907339,0.0004161487,0.10865724
Celebrity Homestate: New York,3.7435093e-05,0.14485066,0.00067396404,0.14417669
Celebrity Homestate: Ohio,0.00060606474,0.05643838,0.0002061157,0.056232262
Celebrity Homestate: Other,0.0,0.084696166,0.0044488558,0.08024731
Celebrity Homestate: Pennsylvania,0.0017735921,0.029491184,0.0010604752,0.02843071
Celebrity Homestate: Texas,0.00025582104,0.07746595,0.0007309065,0.07673504
Celebrity Homestate: Unknown,4.2099146e-06,0.0814915,0.00035629873,0.0811352
Celebrity Industry: Actor/Actress,0.0,0.21146382,0.0014503823,0.21001343
Celebrity Industry: Athlete,8.554339e-05,0.10501257,0.0010573865,0.10395519
Celebrity Industry: Comedian,0.0013108517,0.10581491,0.00074684806,0.105068065
Celebrity Industry: Entrepreneur,0.0,0.015401532,0.00011783361,0.015283698
Celebrity Industry: Model,0.0060813567,0.07700947,0.0007527409,0.07625673
Celebrity Industry: Other,0.00017040086,0.09713061,0.0006238994,0.096506715
Celebrity Industry: Racing Driver,0.0,0.055721037,0.00064214977,0.055078886
Celebrity Industry: Radio Personality,0.00039792556,0.02164823,1.736934e-05,0.02163086
Celebrity Industry: Singer/Rapper,0.0015141107,0.118155226,0.0012454861,0.11690974
Celebrity Industry: Social Media Personality,0.0,0.05921842,5.4519067e-05,0.059163902
Celebrity Industry: TV Personality,0.0,0.35434502,0.0012503183,0.3530947
Fan Improvement (Weeks 1-3),0.023259208,,,
Fan Mean (Weeks 1-3),0.05955365,,,
Fan Score (Week 1),0.028859654,,,
Judge Improvement (Weeks 1-3),0.005019056,,,
Judge Mean (Weeks 1-3),0.09460051,,,
Judge Score (Week 1),0.016538056,,,
