feature,mean_abs_shap
Celebrity Age During Season,1.5183336
Ballroom Partner: Other Partner,0.8523516
Celebrity Industry: TV Personality,0.35434502
Celebrity Industry: Actor/Actress,0.21146382
Ballroom Partner: Derek Hough,0.18152523
Celebrity Homestate: Georgia,0.15506828
Celebrity Homestate: New York,0.14485066
Ballroom Partner: Valentin Chmerkovskiy,0.13668336
Celebrity Homestate: California,0.13661376
Celebrity Industry: Singer/Rapper,0.118155226
Celebrity Homestate: Michigan,0.10907339
Celebrity Industry: Comedian,0.10581491
Celebrity Industry: Athlete,0.10501257
Ballroom Partner: Witney Carson,0.10407777
Celebrity Industry: Other,0.09713061
Ballroom Partner: Peta Murgatroyd,0.09618646
Ballroom Partner: Artem Chigvintsev,0.090627104
Celebrity Homestate: Florida,0.089364685
Ballroom Partner: Sharna Burgess,0.08765098
Celebrity Homestate: Other,0.084696166
Celebrity Homestate: Unknown,0.0814915
Ballroom Partner: Karina Smirnoff,0.07966634
Celebrity Homestate: Texas,0.07746595
Celebrity Industry: Model,0.07700947
Ballroom Partner: Sasha Farber,0.06941985
Celebrity Industry: Social Media Personality,0.05921842
Celebrity Homestate: Ohio,0.05643838
Celebrity Industry: Racing Driver,0.055721037
Ballroom Partner: Tony Dovolani,0.048348736
Celebrity Homestate: Illinois,0.03633037
Ballroom Partner: Maksim Chmerkoskiy,0.03537521
Ballroom Partner: Cheryl Burke,0.03424153
Celebrity Homestate: Pennsylvania,0.029491184
Celebrity Home Country/Region: Other,0.028032575
Ballroom Partner: Emma Slater,0.027164597
Ballroom Partner: Kym Johnson,0.024928007
Ballroom Partner: Gleb Savchenko,0.023498049
Celebrity Home Country/Region: England,0.022695616
Celebrity Home Country/Region: Australia,0.021752778
Celebrity Industry: Radio Personality,0.02164823
Celebrity Industry: Entrepreneur,0.015401532
Celebrity Home Country/Region: Italy,0.014654245
Celebrity Home Country/Region: Canada,0.0074578794
Ballroom Partner: Mark Ballas,0.0074432837
Celebrity Home Country/Region: United States,0.0
