feature,mean_abs_shap,signed_shap,feature_clean
Early Performance (W1-2),0.15818734653141311,0.003861690070785322,Early Performance (W1-2)
age,0.0535385746110615,-0.002025954405609746,age
partner_clean_Other_Partner,0.0068623316108980485,1.9543880147343204e-05,Partner: Other_Partner
homestate_clean_California,0.006810977859822566,7.196881103114987e-05,State: California
industry_clean_Singer/Rapper,0.0068049004403904784,0.00021543032128602032,Industry: Singer/Rapper
industry_clean_TV Personality,0.005255376022002131,-0.00041260142269012283,Industry: TV Personality
industry_clean_Model,0.005202812395413607,0.0008166918272922507,Industry: Model
partner_clean_Cheryl Burke,0.00465406290861644,-0.00045390651537907244,Partner: Cheryl Burke
homestate_clean_Illinois,0.002871215376200235,-0.00017309691241967483,State: Illinois
homestate_clean_Texas,0.00279540376955951,-0.00033171297844695146,State: Texas
homestate_clean_Pennsylvania,0.002588996969537839,-0.0005307540304021491,State: Pennsylvania
homestate_clean_Ohio,0.001980948970079759,0.0003176845643116562,State: Ohio
industry_clean_Athlete,0.001722793619152749,-3.116102865676536e-05,Industry: Athlete
homecountry_clean_United States,0.0016316586018625013,9.075902953314692e-06,Country: United States
homestate_clean_Unknown,0.0016069185548042788,-8.450243797149487e-05,State: Unknown
partner_clean_Karina Smirnoff,0.0015887264160205307,0.0001524827368594595,Partner: Karina Smirnoff
homestate_clean_New York,0.0013190809731570656,0.00014898716584009199,State: New York
industry_clean_Other,0.0013045046893166662,-0.00017714446003899752,Industry: Other
partner_clean_Maksim Chmerkoskiy,0.0012654427171284663,0.0001437917755727773,Partner: Maksim Chmerkoskiy
homestate_clean_Other_State,0.001149353962591924,-1.1557643794747028e-05,State: Other_State
partner_clean_Mark Ballas,0.0011081584137514256,0.00014610558953137882,Partner: Mark Ballas
partner_clean_Derek Hough,0.0010641394249004635,-0.00034700622963415714,Partner: Derek Hough
homestate_clean_Georgia,0.0010305634809794878,-0.00023923470477323926,State: Georgia
partner_clean_Witney Carson,0.0007765553394944428,-0.00011777081306888917,Partner: Witney Carson
partner_clean_Sharna Burgess,0.000695194765457417,-0.0001571513578699439,Partner: Sharna Burgess
homestate_clean_New Jersey,0.0005440043269286941,0.0001888084321276265,State: New Jersey
industry_clean_Comedian,0.0005303140335697055,-0.0001715266667087817,Industry: Comedian
partner_clean_Emma Slater,0.000527924624057439,-8.93502617892398e-05,Partner: Emma Slater
homestate_clean_Louisiana,0.0004730769870642243,-0.00014952614200966851,State: Louisiana
homestate_clean_Florida,0.0004606391707495369,4.403858531138591e-05,State: Florida
partner_clean_Valentin Chmerkovskiy,0.00043476091395453826,2.8248659578153645e-05,Partner: Valentin Chmerkovskiy
partner_clean_Tony Dovolani,0.0003832624959364833,0.00010056409507355285,Partner: Tony Dovolani
partner_clean_Sasha Farber,0.0003400823986278427,-4.7977576418954904e-05,Partner: Sasha Farber
homestate_clean_Kentucky,0.00030511060784100977,3.947654171851245e-05,State: Kentucky
partner_clean_Kym Johnson,0.00024154729750941565,-8.181778527686863e-05,Partner: Kym Johnson
partner_clean_Peta Murgatroyd,0.00020599124721088104,3.206719290916166e-05,Partner: Peta Murgatroyd
partner_clean_Gleb Savchenko,0.0001988926955581147,4.1490315741892475e-05,Partner: Gleb Savchenko
homecountry_clean_Other_Country,0.0001710084672536878,7.021672574557854e-05,Country: Other_Country
homecountry_clean_Canada,0.00012408565519727636,-3.172010299348948e-05,Country: Canada
homecountry_clean_England,0.0001087399332981691,-3.215852634095787e-05,Country: England
homecountry_clean_Czechoslovakia,8.830688215916874e-05,4.543830005218158e-05,Country: Czechoslovakia
homestate_clean_Michigan,6.711657933960103e-05,1.5305281027592243e-05,State: Michigan
homestate_clean_Iowa,5.4821559118738175e-05,-2.0784754523651203e-05,State: Iowa
homecountry_clean_Brazil,1.125287229226329e-05,4.9970360554568114e-06,Country: Brazil
homecountry_clean_Australia,1.0765920527600034e-05,-7.782553544385658e-06,Country: Australia
homecountry_clean_France,9.65181137757146e-06,4.220299085787845e-06,Country: France
homecountry_clean_Italy,2.4504485246916775e-06,1.986328492750807e-06,Country: Italy
homecountry_clean_Chile,0.0,0.0,Country: Chile
homecountry_clean_Croatia,0.0,0.0,Country: Croatia
homecountry_clean_Ireland,0.0,0.0,Country: Ireland
homecountry_clean_Mexico,0.0,0.0,Country: Mexico
missing_fan_share,0.0,0.0,missing_fan_share
homecountry_clean_Russia,0.0,0.0,Country: Russia
homecountry_clean_Taiwan China,0.0,0.0,Country: Taiwan China
