season,n_contestants,kendall_tau_distance,mean_displacement,frac_weeks_differ,top4_same,winner_same
1,6,0.0,0.0,0.0,True,True
2,10,0.022222222222222223,0.2,0.0,True,True
3,11,0.14545454545454545,1.2727272727272727,0.6363636363636364,True,True
4,11,0.03636363636363636,0.36363636363636365,0.2727272727272727,True,True
5,12,0.06060606060606061,0.6666666666666666,0.5,False,True
6,12,0.030303030303030304,0.3333333333333333,0.25,False,True
7,13,0.15384615384615385,1.5384615384615385,0.5384615384615384,False,True
8,13,0.10256410256410256,0.7692307692307693,0.23076923076923078,True,True
9,16,0.05,0.5,0.25,True,True
10,11,0.01818181818181818,0.18181818181818182,0.18181818181818182,True,True
11,12,0.09090909090909091,0.6666666666666666,0.3333333333333333,False,True
12,11,0.01818181818181818,0.18181818181818182,0.0,True,True
13,12,0.07575757575757576,0.6666666666666666,0.3333333333333333,True,True
14,12,0.06060606060606061,0.6666666666666666,0.3333333333333333,True,False
15,13,0.05128205128205128,0.6153846153846154,0.3076923076923077,True,True
16,12,0.15151515151515152,1.3333333333333333,0.4166666666666667,True,False
17,12,0.06060606060606061,0.5,0.25,False,True
18,12,0.09090909090909091,0.8333333333333334,0.4166666666666667,True,True
19,13,0.11538461538461539,1.3846153846153846,0.6923076923076923,False,True
20,12,0.030303030303030304,0.3333333333333333,0.16666666666666666,True,False
21,13,0.038461538461538464,0.46153846153846156,0.15384615384615385,True,False
22,12,0.16666666666666666,1.5,0.5,False,False
23,13,0.0,0.0,0.0,True,True
24,12,0.13636363636363635,1.1666666666666667,0.5,True,True
25,13,0.01282051282051282,0.15384615384615385,0.15384615384615385,False,True
26,10,0.08888888888888889,0.6,0.2,True,True
27,13,0.1282051282051282,1.3846153846153846,0.5384615384615384,True,False
28,12,0.07575757575757576,0.6666666666666666,0.25,True,True
29,15,0.0380952380952381,0.4,0.13333333333333333,True,True
30,15,0.08571428571428572,0.9333333333333333,0.3333333333333333,False,True
31,16,0.008333333333333333,0.125,0.125,True,True
32,14,0.08791208791208792,0.8571428571428571,0.35714285714285715,True,True
33,13,0.038461538461538464,0.46153846153846156,0.15384615384615385,True,True
34,14,0.04395604395604396,0.5714285714285714,0.21428571428571427,True,True
